Reference; Quantity; Footprint; Value; Description; Voltage; Type; Tolerance; Size; Current; Power; 
C205 C214 C231 C250 C265 C304 C327 C401 C501 C504 ;10;SMD-0805;100p;'Ceramic capacitor;'50V;'C0G;'5%;'0805;';';
C206 C232 C251 C318 C324 C336 C403 ;7;CAP-TH-D6.3mmP2.5mm;220u;'Low impedance aluminium electrolytic capacitor - Panasonic FC, FR or similar;'10V;'2.5mm pitch, 6.3mm diameter;';';';';
C207 C234 C267 C313 C315 C316 C322 C334 C405 C502 C505 ;11;SMD-0805;22u;'Ceramic capacitor;'10V;'X5R;'20%;'0805;';';
C201 C208 C210 C212 C218 C233 C235 C236 C239 C243 C253 C264 C302 C307 C310 C314 C317 C319 C320 C323 C326 C329 C333 C338 C402 C406 C412 C413 C414 C416 C417 C503 C506 ;33;SMD-0805;100n;'Ceramic capacitor;'50V;'X7R;'10%;'0805;';';
C209 C211 C216 C256 C266 C321 C325 C328 C337 C339 C404 C410 C411 ;13;SMD-0805;10u;'Ceramic capacitor;'10V;'X5R;'20%;'0805;';';
C213 C219 C223 C228 C237 C240 C242 C245 C246 C257 ;10;SMD-0603;1u;'Ceramic capacitor;'10V;'X7R;'10%;'0603;';';
C215 C221 C226 C229 C238 C241 C244 C247 C248 C258 C268 ;11;SMD-0603;100n;'Ceramic capacitor;'50V;'X7R;'10%;'0603;';';
C217 C222 C227 C230 C249 C260 ;6;SMD-0603;10n;'Ceramic capacitor;'50V;'X7R;'10%;'0603;';';
C224 ;1;SMD-0603;5n6;'Ceramic capacitor;'50V;'X7R;'10%;'0603;';';
C225 ;1;SMD-0603;150p;'Ceramic capacitor;'50V;'C0G;'5%;'0603;';';
C252 ;1;SMD-0805;22u;'Ceramic capacitor;'10V;'X5R;'20%;';';';
C254 C261 ;2;SMD-0805;33p;'Ceramic capacitor;'50V;'C0G;'5%;'0805;';';
C220 C263 C308 C415 ;4;SMD-0805;10n;'Ceramic capacitor;'50V;'X7R;'10%;'0805;';';
C303 C306 ;2;CAP-TH-D6.3mmP2.5mm;220u;'Aluminium electrolytic capacitor;'16V;'2.5mm pitch, 6.3mm diameter;';';';';
C301 C305 C309 ;3;SMD-0805;22u;'Ceramic capacitor;'25V;'X5R;'20%;'0805;';';
C311 C312 ;2;SMD-0805;N/F;'Ceramic capacitor;'16V;'X7R;'10%;'0805;';';
C407 C408 ;2;SMD-0805;N/F;'Ceramic capacitor;'10V;'X7R;'10%;'0805;';';
CN401 CN402 ;2;CONN_SIL_2_1MM;COAX;'1x2 2.54mm pitch pin header - use with 75Ohm coax;';';';';';';
D301 D302 ;2;DIODE-SMA;B240A;'B240A 2A 40V Schottky Rectifier - SMA (DO-214AC);';';';';';';
D303 D305 D306 D307 D501 D502 D503 D504 D505 D506 D507 D508 D509 D510 D511 D512 ;16;DIODE-SOD-123;SS14L;'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';';';
D304 ;1;SMD-1206;Green LED 1206;'Green LED - SMD - Vf 1.8V to 2.2V;';';';'1206;';';
FID1 FID2 FID3 FID4 ;4;FID-1MM-3MM;MNT_HOLE;'Fiducial;';';';';';';
L201 L202 L203 L301 L401 ;5;SMD-0805;600R@100MHz;'Ferrite bead, current rating 1A or higher, 600R@100MHz;';';';'0805;'=>1A;';
L302 ;1;IND-TYS5040-HS;TYS50404R7N-10;'Laird Technologies TYS5040 4.7uH Inductor - 3A Irms, 3.5A Isat, 0.030ohm, 28MHz;';';';';'3A;';
MNT301 MNT302 MNT303 MNT304 ;4;MNT_HOLE_3.2mm;MNT_HOLE;'Mounting hole;';';';';';';
JP201 P202 P306 P307 ;4;CONN_SIL_2_1MM;CONN_2x1;'1x2 2.54mm pitch pin header;';';';';';';
JP401 P203 ;2;CONN_SIL_3_1MM;CONN_3x1;'1x3 2.54mm pitch pin header;';';';';';';
P304 ;1;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
P501 P502 P503 P504 P506 P507 P508 P509 P510 ;9;CONN_DIL_2X5_BOX_1MM;CONN_02X05;'2x5 2.54mm pitch box header;';';';';';';
P505 ;1;CONN_DIL_2X6_1MM;CONN_02X06;'2x6 2.54mm pitch box header;';';';';';';
P511 P512 ;2;CONN_DIL_2X6_BOX_1MM;CONN_02X06;'2x6 2.54mm pitch box header;';';';';';';
R201 R225 R542 R543 ;4;SMD-0805;1k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R202 R215 R224 R237 R246 R303 R311 R401 R533 R534 ;10;SMD-0805;47;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R203 R204 R205 R206 R207 R208 R209 R210 R220 R239 R243 R245 R501 R502 R503 R504 R505 R506 R507 R508 R509 R510 R511 R512 R513 R514 R515 R516 R568 R569 R570 R571 R572 R573 R574 R575 R576 R577 R578 R579 R580 R581 R582 R583 ;44;SMD-0805;N/F;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R211 R227 R228 R229 R230 R233 R234 R235 R236 R248 R403 R404 R405 R406 R407 R413 R544 R545 R546 R547 R548 R549 R550 R551 R553 R554 R555 R557 R558 R559 R561 R562 R563 R565 R566 R567 ;36;SMD-0805;75;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R217 ;1;SMD-0805;12k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R218 ;1;SMD-0805;3k3;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R219 ;1;SMD-0603;4k3;'Thick or thin film resistor;';';'1%;'0603;';'63mW;
R221 ;1;SMD-0805;3k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R222 ;1;SMD-0805;3k6;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R212 R213 R214 R216 R223 R306 R517 R518 R519 R520 R521 R522 R523 R524 R525 R526 R527 R528 R529 R530 R531 R532 R541 R552 R556 R560 R564 R586 R587 ;29;SMD-0805;0;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R226 R231 R241 R411 ;4;SMD-0805;100;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R232 ;1;SMD-0805;100k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R238 R240 R242 R302 R402 R408 R409 ;7;SMD-0805;10k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R244 R247 R310 R584 R585 ;5;SMD-0805;1;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R301 ;1;SMD-0805;16k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R304 ;1;SMD-0805;24k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R305 ;1;SMD-0805;15k;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R309 ;1;SMD-0805;470;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R410 ;1;SMD-0805;360;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R412 ;1;SMD-0805;91;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
R535 R536 R537 R538 R539 R540 ;6;SMD-0805;4k7;'Thick or thin film resistor;';';'1%;'0805;';'100mW;
SW201 ;1;SW_TACT_SMD;SWITCH;'6mm x 6mm SMD tactile switch - e.g. TE FSM2JSMA;';';';';';';
TP201 TP501 TP502 TP503 TP504 TP505 TP506 TP507 TP508 TP509 TP510 TP511 TP512 TP513 TP514 TP515 TP516 TP517 TP518 TP519 TP520 TP521 TP522 TP523 TP524 TP525 TP526 TP527 TP528 ;29;TP-TH-1mm;PIN;Test Point (Through hole);;;;;;;
TP204 TP205 ;2;TP-1mm;PIN;Test Point (SMD);;;;;;;
TP206 ;1;TP-2mm;PIN;Test Point (SMD);;;;;;;
U201 ;1;IC-LFCSP72-HANDFIT;ADAU1452WBCPZ;'SigmaDSP Digital Audio Processor - Use ADAU1452, ADAU1451, or ADAU1450;';';';';';';
U202 ;1;IC_SOIC_8;ADM13307-5ARZ;'Triple Processor Supervisors - Use ADM13307-5ARZ only (Sense1 = 3v3, Sense2/3=Adj);';';';';';';
U203 ;1;IC-SC70-6;NC7WZ17P6X;'UHS Dual Buffer with Schmitt Trigger Inputs;';';';';';';
U204 ;1;IC_DIP_8;25AA1024;'1 Mbit SPI Bus Serial EEPROM - Fit 8 pin DIP socket;';';';';';';
U301 ;1;IC-SOT23-6;ADP2301AUJZ;'1.2 A, 20 V, 700 kHz/1.4 MHz, Nonsynchronous Step-Down Regulator;';';';';';';
U302 ;1;IC-SOT-223;TLV1117LV33DCY;'TLV1117LV 1-A, Positive Fixed-Voltage, Low-Dropout Regulator - Fixed 3V3;';';';';';';
U303 ;1;IC-SOT-223;TLV1117LV12DCY;'TLV1117LV 1-A, Positive Fixed-Voltage, Low-Dropout Regulator - Fixed 1V2;';';';';';';
U401 ;1;IC-SC70-6;NC7WZ16P6X;'UHS Dual Buffer;';';';';';';
U402 ;1;IC_SPDIF_OPTO;IC-SPDIF-RX-OPTO;'TOSLINK receiver e.g. CLIFF FC684205R;';';';';';';
U403 ;1;IC_SPDIF_OPTO;IC-SPDIF-TX-OPTO;'TOSLINK transmitter e.g. CLIFF FC684205T;';';';';';';
U404 ;1;IC_SOIC_14;74HC04;'74HC04 Hex Inverter - SOIC-14;';';';';';';
U501 U502 ;2;IC_SOIC_8;NB3L553;'On Semi - 1:4 Clock Fanout Buffer;';';';';';';
X201 ;1;XTAL_HC49_TH;24M576;'HC49 Crystal, 24.576MHz, 18pF;';';';';';';
