,"DSP-ADAU1452-StandAlone Bill of Materials Release 1.0",,,,,,
,"24/01/16",,,,,,
"Id","Designator","Package","Quantity","Designation","Detail",,
1,"R233,R413,R567,R566,R565,R563,R562,R561,R559,R558,R557,R555,R554,R553,R551,R550,R548,R547,R546,R403,R544,R549,R545,R405,R406","SMD-0805",25,"75R","100mW",,
2,"TP509,TP503,TP510,TP513,TP517,TP514,TP518,TP515,TP519,TP516,TP520,TP521,TP522,TP523,TP524,TP525,TP526,TP527,TP528,TP504,TP511,TP512,TP502,TP507,TP508,TP501,TP505,TP506,TP201","TP-TH-1mm",29,"PIN","VERO 20-2137 or equivalent",,
3,"D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512","DIODE-SOD-123",12,"1N4148W","1N4148W or Diodes Inc B130LAW-7-F (better part to use)",,
4,"U302","IC-SOT223-6",1,"TPS7A4533DCQ","Texas Instruments TPS7A4533DCQ low noise regulator",,
5,"D302","DIODE-SMA",1,"B230A","Diodes Inc. B230A-13-F",,
6,"L302","IND-VLC4045",1,"VLC5045T-4R7M","TDK VLC5045T-4R7M 4.7uH 34mOhm 3.3A SMD inductor",,
7,"P305,P303,P302,P301","MountingHole_3mm",4,"PIN","Mounting hole only",,
8,"P307,P306,P202,P201","CONN_SIL_2",4,"CONN_2x1","P201 2.54mm pitch pin header (jumper), others can wire directly",,
9,"R219","SMD-0603",1,"4k3","100mW",,
10,"C225","SMD-0603",1,"150p","50V NP0 5%",,
11,"C224","SMD-0603",1,"5n6","50V X7R 10%",,
12,"C268,C258,C248,C244,C238,C229,C226,C221,C215,C241,C247","SMD-0603",11,"100n","50V X7R 10%",,
13,"C246,C242,C240,C237,C228,C223,C219,C213,C245,C257","SMD-0603",10,"1u","16V X7R 10%",,
14,"C230,C227,C222,C217,C249,C260","SMD-0603",6,"10n","50V X7R 10%",,
15,"P401,P203","CONN_SIL_3",2,"CONN_3x1","P401 2.54mm pitch pin header (jumper), P203 can wire directly",,
16,"CN402,CN401","CONN_SIL_2",2,"COAX","75Ohm SPDIF Input/Outputs - to external BNC/Phono - Recommend using coaxial cable",,
17,"TP205,TP204,TP203,TP202","TP-1mm",4,"PIN","ADAU145x unused pins",,
18,"U303","IC-SOT-223",1,"TLV1117LV12DCY","Texas Instruments TLV1117LV12DCY - Low power version of the 1117 regulator",,
19,"P506,P510,P509,P508,P507,P501,P502,P503,P504","CONN_DIL_2X5_BOX",9,"CONN_02X05","2x5 2.54mm box header",,
20,"U204","IC_DIP_8",1,"25AA1024","Serial SPI EEPROM - Microchip 25AA1024 or equivalent",,
21,"U501,U502","IC_SOIC_8",2,"NB3L553","On Semiconductor NB3L553DG Clock Fanout",,
22,"P304","CONN-SCREW-2WAY-5mm-5.08mm",1,"CONN_2x1","Any 5mm  or 5.08mm screw terminal - eg CamdenBoss CTB5000/2",,
23,"U201","IC-LFCSP72-HANDFIT",1,"ADAU1452WBCPZ","Analog Devices ADAU1450WBCPZ or ADAU1451WBCPZ or ADAU1452WBCPZ",,
24,"P505","CONN_DIL_2X6",1,"CONN_6X2","2x6 2.54mm pitch header (not box) or wire directly",,
25,"D301","DIODE-SMB",1,"SS24T3G","On Semiconductor SS24T3G or Vishay SS24-E3/52T",,
26,"X201","XTAL_HC49_TH",1,"24M576","Any HC49 through hole 24.576MHz 18pF Crystal - eg TXC 9B-24.576MAAJ-B",,
27,"U301","IC-SOT23-6",1,"ADP2301AUJZ","Analog Devices ADP2301AUJZ DC-DC Step-Down",,
28,"D304","SMD-1206",1,"LED","Green or Red 1206 LED eg Avago HSMG-C150 (or 0805 parts may fit)",,
29,"U202","IC_SOIC_8",1,"ADM13307-5ARZ","Analog Devices ADM13307-5ARZ Supervisor (SENSE1=3V3,SENSE2=ADJ,SENSE3=ADJ)",,
30,"SW201","SW_TACT_SMD",1,"SWITCH","Any 6mmx6mm SMD tactile switch - eg TE Connectivity FSM4JSMATR",,
